Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"San Jose, CA",501 to 1000 Employees,2003,Company - Private,Computer Hardware & Software,$25 to $50 million (USD),Innominds Software,Innominds Software Data Scientist Salaries,"₹ 6,94,225","₹ 2,04,261","₹ 7,68,115","₹6,94,225","The typical Innominds Software Data Scientist salary is ₹6,94,225","₹1,334K",₹139K,3.9,68%,18%,13%,37%,19%,14%,Banglore
"Bangalore, India",1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Less than $1 million (USD),Mate Labs,Mate Labs Data Scientist Salaries,"₹ 1,91,526 - ₹ 2,07,498","₹ 65,961",NA,"₹1,91,526-₹2,07,498","Data Scientist salaries at Mate Labs can range from ₹1,91,526-₹2,07,498",NA,NA,4.1,78%,11%,11%,78%,11%,11%,Banglore
"Santa Monica, CA",1001 to 5000 Employees,2011,Company - Public (SNAP),Computer Hardware & Software,Unknown / Non-Applicable,Snap,Snap Data Scientist Salaries in Bangalore Area,"₹ 41,79,715 - ₹ 45,91,667",NA,NA,"₹41,79,715-₹45,91,667","Data Scientist salaries at Snap can range from ₹41,79,715-₹45,91,667",NA,NA,4.1,42%,36%,22%,48%,25%,18%,Banglore
"Dublin, Ireland",10000+ Employees,2013,Company - Public (ALLE),Consumer Products Manufacturing,$2 to $5 billion (USD),Allegion,Allegion Data Scientist Salaries in Bangalore Area,"₹ 11,97,369 - ₹ 13,14,943","₹ 1,01,529",NA,"₹11,97,369-₹13,14,943","Data Scientist salaries at Allegion can range from ₹11,97,369-₹13,14,943",NA,NA,3.7,54%,38%,8%,41%,20%,15%,Banglore
"Overland Park, KS",10000+ Employees,null,Company - Public (S),Telecommunications Services,$2 to $5 billion (USD),Sprint,Sprint Data Scientist Salaries,"₹ 8,48,291 - ₹ 10,47,720",NA,NA,"₹8,48,291-₹10,47,720","Data Scientist salaries at Sprint can range from ₹8,48,291-₹10,47,720",NA,NA,3.5,68%,13%,19%,70%,11%,9%,Banglore
"New York, NY",201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Impact Analytics,Impact Analytics Senior Data Scientist Salaries,"₹ 10,67,888","₹ 1,02,044","₹ 11,64,562","₹10,67,888","The typical Impact Analytics Senior Data Scientist salary is ₹10,67,888","₹1,480K",₹814K,4,48%,32%,19%,38%,38%,10%,Banglore
"Boston, MA",10000+ Employees,1892,Company - Public (GE),Industrial Manufacturing,$10+ billion (USD),GE,GE Senior Data Scientist Salaries in Bangalore Area,"₹ 21,42,705","₹ 1,96,023","₹ 22,55,035","₹21,42,705","The typical GE Senior Data Scientist salary is ₹21,42,705","₹2,711K","₹1,587K",3.9,70%,10%,21%,48%,25%,10%,Banglore
"Leuven, Belgium",10000+ Employees,1852,Company - Public (BUD),Food & Drink Manufacturing,$10+ billion (USD),Anheuser-Busch InBev,Anheuser-Busch InBev Associate Data Scientist Salaries in Bangalore Area,"₹ 14,13,240","₹ 1,94,000","₹ 16,55,281","₹14,13,240","The typical Anheuser-Busch InBev Associate Data Scientist salary is ₹14,13,240","₹2,542K",₹122K,3.6,60%,19%,22%,63%,22%,6%,Banglore
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Science Analyst Salaries in Bangalore Area,"₹ 12,06,899","₹ 1,00,000","₹ 13,00,000","₹12,06,899","The typical Accenture Data Science Analyst salary is ₹12,06,899","₹1,320K",₹461K,4,70%,13%,17%,37%,29%,12%,Banglore
"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD),Wipro,Wipro Associate Data Scientist Salaries in Bangalore Area,"₹ 8,20,208",NA,"₹ 8,20,208","₹8,20,208","The typical Wipro Associate Data Scientist salary is ₹8,20,208",₹868K,₹632K,3.7,70%,13%,17%,44%,23%,11%,Banglore
"Leuven, Belgium",10000+ Employees,1852,Company - Public (BUD),Food & Drink Manufacturing,$10+ billion (USD),Anheuser-Busch InBev,Anheuser-Busch InBev Senior Data Scientist Salaries in Bangalore Area,"₹ 20,00,000","₹ 4,07,146","₹ 24,17,582","₹20,00,000","The typical Anheuser-Busch InBev Senior Data Scientist salary is ₹20,00,000","₹2,755K","₹1,906K",3.6,60%,19%,22%,63%,22%,6%,Banglore
"Charlotte, NC",1 to 50 Employees,2007,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),Fuzzy Logix,Fuzzy Logix Associate Data Scientist Salaries in Bangalore Area,"₹ 13,11,865","₹ 1,11,663","₹ 13,11,865","₹13,11,865","The typical Fuzzy Logix Associate Data Scientist salary is ₹13,11,865","₹1,489K","₹1,129K",3.6,75%,25%,100%,,,,Banglore
"Bangalore, India",10000+ Employees,1911,Company - Public (IBM),IT Services,$10+ billion (USD),IBM,IBM Senior Data Scientist Salaries in Bangalore Area,"₹ 31,39,130","₹ 5,44,699","₹ 31,39,130","₹31,39,130","The typical IBM Senior Data Scientist salary is ₹31,39,130","₹4,371K","₹1,307K",3.9,69%,12%,19%,43%,22%,14%,Banglore
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Senior Data Scientist Salaries in Bangalore Area,"₹ 17,78,459","₹ 2,38,761","₹ 17,91,129","₹17,78,458","The typical Fractal Senior Data Scientist salary is ₹17,78,458","₹2,309K","₹1,245K",4,72%,19%,9%,48%,20%,15%,Banglore
"Stamford, CT",10000+ Employees,1980,Company - Private,Consumer Products Manufacturing,$5 to $10 billion (USD),HARMAN,HARMAN Senior Data Scientist Salaries in Bangalore Area,"₹ 13,78,435","₹ 5,96,902","₹ 13,78,435","₹13,78,435","The typical HARMAN Senior Data Scientist salary is ₹13,78,435","₹2,388K","₹1,000K",3.8,54%,32%,14%,36%,25%,10%,Banglore
"Bangalore, India",5001 to 10000 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,Ola,Ola Senior Data Scientist Salaries in Bangalore Area,"₹ 33,00,000","₹ 3,30,000","₹ 35,98,041","₹33,00,000","The typical Ola Senior Data Scientist salary is ₹33,00,000","₹6,755K","₹1,350K",3.1,47%,43%,11%,23%,23%,22%,Banglore
"Bangalore, India",1001 to 5000 Employees,2011,Company - Public,IT Services,$50 to $100 million (USD),Happiest Minds Technologies,Happiest Minds Technologies Senior Data Scientist Salaries in Bangalore Area,"₹ 17,79,149",NA,"₹ 17,79,149","₹17,79,149","The typical Happiest Minds Technologies Senior Data Scientist salary is ₹17,79,149","₹3,350K",₹460K,4.3,74%,21%,5%,23%,19%,18%,Banglore
"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD),Cognizant Technology Solutions,Cognizant Technology Solutions Associate Data Scientist Salaries in Bangalore Area,"₹ 7,55,211","₹ 61,764","₹ 8,24,756","₹7,55,211","The typical Cognizant Technology Solutions Associate Data Scientist salary is ₹7,55,211","₹1,069K",₹704K,3.7,73%,13%,14%,43%,23%,10%,Banglore
"Bangalore, India",10000+ Employees,2014,Company - Private,Internet,Unknown / Non-Applicable,Swiggy,Swiggy Data Science Salaries in Bangalore Area,"₹ 5,50,359",NA,"₹ 5,50,359","₹5,50,359","The typical Swiggy Data Science salary is ₹5,50,359",₹581K,₹496K,4,42%,45%,12%,26%,23%,18%,Banglore
"Campbell, CA",1 to 50 Employees,null,Company - Private,Research & Development,Unknown / Non-Applicable,CrowdANALYTIX,CrowdANALYTIX Data Science Salaries in Bangalore Area,"₹ 2,54,134",NA,"₹ 2,54,134","₹2,54,134","The typical CrowdANALYTIX Data Science salary is ₹2,54,134",₹264K,₹216K,4.1,NA,NA,NA,NA,NA,NA,Banglore
"Sunnyvale, CA",1001 to 5000 Employees,null,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Walmart Labs,Walmart Labs Senior Data Scientist Salaries in Bangalore Area,"₹ 35,00,000","₹ 8,50,000","₹ 41,75,000","₹35,00,000","The typical Walmart Labs Senior Data Scientist salary is ₹35,00,000","₹3,600K",₹409K,3.8,48%,36%,16%,27%,21%,20%,Banglore
"London, United Kingdom",10000+ Employees,1989,Company - Private,Accounting,$10+ billion (USD),EY,EY Senior Data Scientist Salaries in Bangalore Area,"₹ 15,83,296","₹ 3,01,358","₹ 18,96,482","₹15,83,296","The typical EY Senior Data Scientist salary is ₹15,83,296","₹2,960K","₹1,408K",3.8,73%,9%,18%,36%,36%,13%,Banglore
"Teaneck, NJ",10000+ Employees,1994,Company - Public (CTSH),Consulting,$10+ billion (USD),Cognizant Technology Solutions,Cognizant Technology Solutions Senior Data Scientist Salaries in Bangalore Area,"₹ 14,91,087","₹ 1,11,623","₹ 15,27,710","₹14,91,087","The typical Cognizant Technology Solutions Senior Data Scientist salary is ₹14,91,087","₹2,200K",₹822K,3.7,73%,13%,14%,43%,23%,10%,Banglore
"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD),Amazon,Amazon Senior Data Scientist Salaries in Bangalore Area,"₹ 24,23,357","₹ 15,79,077","₹ 29,88,948","₹24,23,357","The typical Amazon Senior Data Scientist salary is ₹24,23,357","₹3,237K","₹1,532K",4.3,59%,19%,23%,54%,15%,12%,Banglore
"Bangalore, India",10000+ Employees,1962,Company - Public (TGT),General Merchandise & Superstores,$10+ billion (USD),Target,Target Lead Data Scientist Salaries in Bangalore Area,"₹ 29,42,678","₹ 2,41,777","₹ 31,15,800","₹29,42,678","The typical Target Lead Data Scientist salary is ₹29,42,678","₹3,451K","₹2,746K",4.3,67%,13%,21%,64%,12%,10%,Banglore
"Bangalore, India",501 to 1000 Employees,2016,Company - Private,Consulting,Unknown / Non-Applicable,TheMathCompany,TheMathCompany Associate Data Scientist Salaries in Bangalore Area,"₹ 11,63,287",NA,"₹ 11,63,287","₹11,63,287","The typical TheMathCompany Associate Data Scientist salary is ₹11,63,287","₹1,271K",₹632K,3.8,61%,21%,18%,45%,22%,15%,Banglore
"Bangalore, India",501 to 1000 Employees,2012,Company - Private,Education Training Services,Unknown / Non-Applicable,Embibe,Embibe Data Science Engineer Salaries in Bangalore Area,"₹ 16,87,500","₹ 3,06,133","₹ 19,61,009","₹16,87,500","The typical Embibe Data Science Engineer salary is ₹16,87,500","₹2,041K",₹804K,4.1,59%,37%,4%,32%,19%,19%,Banglore
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Science Consultant Salaries in Bangalore Area,"₹ 16,34,749","₹ 2,04,088","₹ 18,69,417","₹16,34,749","The typical Accenture Data Science Consultant salary is ₹16,34,749","₹1,800K","₹1,531K",4,70%,13%,17%,37%,29%,12%,Banglore
"Northbrook, IL",1001 to 5000 Employees,2004,Company - Private,Consulting,Unknown / Non-Applicable,Mu Sigma,Mu Sigma Trainee Data Scientist Monthly Pay in Bangalore Area,"₹ 32,689 - ₹ 41,605","₹ 2,05,967",NA,"₹32,689-₹41,605","Trainee Data Scientist salaries at Mu Sigma can range from ₹32,689-₹41,605",NA,NA,3.3,70%,12%,19%,77%,12%,5%,Banglore
"Boston, MA",10000+ Employees,1990,Company - Public,Consulting,Unknown / Non-Applicable,Publicis Sapient,Publicis Sapient Senior Associate Data Science Salaries in Bangalore Area,"₹ 19,19,175",NA,"₹ 19,19,175","₹19,19,175","The typical Publicis Sapient Senior Associate Data Science salary is ₹19,19,175","₹3,001K","₹1,492K",3.8,68%,19%,13%,27%,26%,21%,Banglore
"Bangalore, India",501 to 1000 Employees,2012,Company - Private,Education Training Services,Unknown / Non-Applicable,Embibe,Embibe Data Science Salaries in Bangalore Area,"₹ 3,25,685 - ₹ 3,76,696",NA,NA,"₹3,29,807","The typical Embibe Data Science salary is ₹3,29,807",NA,NA,4.1,59%,37%,4%,32%,19%,19%,Banglore
"Bangalore, India",1001 to 5000 Employees,2014,Company - Private,Transportation Management,Unknown / Non-Applicable,Bounce,Bounce Data Science Salaries in Bangalore Area,"₹ 3,95,769 - ₹ 4,61,730",NA,NA,"₹3,95,769","The typical Bounce Data Science salary is ₹3,95,769",NA,NA,3.6,55%,25%,20%,33%,17%,17%,Banglore
"Mumbai, India",201 to 500 Employees,2009,Company - Private,Consulting,Unknown / Non-Applicable,Cartesian Consulting,Cartesian Consulting Data Science Salaries in Bangalore Area,"₹ 2,60,548 - ₹ 2,86,513",NA,NA,"₹2,86,513","The typical Cartesian Consulting Data Science salary is ₹2,86,513",NA,NA,3.1,67%,17%,17%,65%,24%,6%,Banglore
"Tysons Corner, VA",10000+ Employees,2017,Company - Public (DXC),IT Services,$10+ billion (USD),DXC Technology,DXC Technology Data Science Salaries in Bangalore Area,"₹ 2,00,000 - ₹ 37,37,817","₹ 1,64,904",NA,"₹9,13,759","The typical DXC Technology Data Science salary is ₹9,13,759",NA,NA,3.3,66%,16%,19%,32%,30%,12%,Banglore
"Bangalore, India",1 to 50 Employees,null,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Discover Dollar,Discover Dollar Data Science Salaries in Bangalore Area,"₹ 1,44,000 - ₹ 1,50,678",NA,NA,"₹1,48,003","The typical Discover Dollar Data Science salary is ₹1,48,003",NA,NA,4.6,100%,100%,,,,,Banglore
"New York, NY",201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Impact Analytics,Impact Analytics Data Science Salaries in Bangalore Area,"₹ 2,23,327 - ₹ 2,86,513",NA,NA,"₹2,76,994","The typical Impact Analytics Data Science salary is ₹2,76,994",NA,NA,4,48%,32%,19%,38%,38%,10%,Banglore
"San Francisco, CA",51 to 200 Employees,2013,Company - Private,Internet,Unknown / Non-Applicable,Zendrive,Zendrive Senior Data Scientist Salaries in Bangalore Area,"₹ 14,32,566 - ₹ 52,67,393","₹ 5,96,902",NA,"₹30,00,000","The typical Zendrive Senior Data Scientist salary is ₹30,00,000",NA,NA,3.8,45%,48%,6%,57%,11%,11%,Banglore
"San Jose, CA",10000+ Employees,1982,Company - Public (ADBE),Computer Hardware & Software,$2 to $5 billion (USD),Adobe,Adobe Senior Data Scientist Salaries in Bangalore Area,"₹ 20,00,000 - ₹ 41,55,687","₹ 4,69,379",NA,"₹29,29,855","The typical Adobe Senior Data Scientist salary is ₹29,29,855",NA,NA,4.4,61%,23%,16%,29%,24%,20%,Banglore
"Bangalore, India",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),Flutura,Flutura Senior Data Scientist Salaries in Bangalore Area,"₹ 6,87,017 - ₹ 9,08,407","₹ 64,813",NA,"₹8,65,820","The typical Flutura Senior Data Scientist salary is ₹8,65,820",NA,NA,4.4,65%,17%,17%,23%,23%,18%,Banglore
"Sunnyvale, CA",51 to 200 Employees,2013,Company - Private,IT Services,Unknown / Non-Applicable,Sigmoid Analytics,Sigmoid Analytics Senior Data Scientist Salaries in Bangalore Area,"₹ 12,00,000 - ₹ 30,00,000","₹ 1,00,000",NA,"₹22,00,000","The typical Sigmoid Analytics Senior Data Scientist salary is ₹22,00,000",NA,NA,4,60%,30%,10%,39%,25%,24%,Banglore
"Bangalore, India",1001 to 5000 Employees,2011,Company - Public,IT Services,$50 to $100 million (USD),Happiest Minds Technologies,Happiest Minds Technologies Associate Data Scientist Salaries in Bangalore Area,"₹ 1,92,000 - ₹ 4,27,033",NA,NA,"₹4,05,433","The typical Happiest Minds Technologies Associate Data Scientist salary is ₹4,05,433",NA,NA,4.3,74%,21%,5%,23%,19%,18%,Banglore
"Sunnyvale, CA",51 to 200 Employees,2013,Company - Private,IT Services,Unknown / Non-Applicable,Sigmoid Analytics,Sigmoid Analytics Associate Data Scientist Salaries in Bangalore Area,"₹ 8,16,354 - ₹ 10,55,918","₹ 3,00,000",NA,"₹10,00,000","The typical Sigmoid Analytics Associate Data Scientist salary is ₹10,00,000",NA,NA,4,60%,30%,10%,39%,25%,24%,Banglore
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Science Manager Salaries in Bangalore Area,"₹ 17,00,000 - ₹ 33,50,451","₹ 2,03,062",NA,"₹31,42,105","The typical Accenture Data Science Manager salary is ₹31,42,105",NA,NA,4,70%,13%,17%,37%,29%,12%,Banglore
"Durham, NC",10000+ Employees,2017,Company - Public (IQV),Biotech & Pharmaceuticals,$10+ billion (USD),IQVIA,IQVIA Clinical Data Scientist Salaries in Bangalore Area,"₹ 5,74,830 - ₹ 7,81,343","₹ 30,052",NA,"₹7,19,461","The typical IQVIA Clinical Data Scientist salary is ₹7,19,461",NA,NA,3.8,61%,20%,19%,46%,15%,14%,Banglore
"Deerfield, IL",10000+ Employees,1925,Company - Public (CAT),Industrial Manufacturing,$10+ billion (USD),Caterpillar,Caterpillar Data Scientist Salaries in Bangalore Area,"₹ 8,62,109 - ₹ 15,61,233",NA,NA,"₹8,62,109-₹15,61,233","Data Scientist salaries at Caterpillar can range from ₹8,62,109-₹15,61,233",NA,NA,3.9,71%,8%,21%,36%,34%,8%,Banglore
"Redmond, WA",10000+ Employees,1975,Company - Public (MSFT),Computer Hardware & Software,$10+ billion (USD),Microsoft,Microsoft Data Science Salaries,"₹ 9,92,488",NA,"₹ 9,92,488","₹9,92,488","The typical Microsoft Data Science salary is ₹9,92,488","₹1,005K",₹250K,4.4,66%,13%,21%,33%,30%,15%,Banglore
"Chicago, IL",5001 to 10000 Employees,1892,Subsidiary or Business Segment,Healthcare Services & Hospitals,$10+ billion (USD),GE Healthcare,GE Healthcare Data Science Salaries,"₹ 3,07,636 - ₹ 8,30,418",NA,NA,"₹3,07,636-₹8,30,418","Data Science salaries at GE Healthcare can range from ₹3,07,636-₹8,30,418",NA,NA,4,65%,17%,18%,43%,18%,15%,Banglore
"Bangalore, India",10000+ Employees,2007,Company - Private,Internet,$5 to $10 billion (USD),Flipkart,Flipkart Data Science Salaries,"₹ 6,02,864 - ₹ 6,73,321",NA,NA,"₹6,02,864-₹6,73,321","Data Science salaries at Flipkart can range from ₹6,02,864-₹6,73,321",NA,NA,4.2,58%,26%,16%,29%,18%,17%,Banglore
"Naperville, IL",1 to 50 Employees,2012,Company - Private,IT Services,Unknown / Non-Applicable,Busigence Technologies,Busigence Technologies Data Science Salaries,"₹ 3,18,739 - ₹ 3,61,114",NA,NA,"₹3,18,739-₹3,61,114","Data Science salaries at Busigence Technologies can range from ₹3,18,739-₹3,61,114",NA,NA,2.2,100%,100%,,,,,Banglore
"Bangalore, India",1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Less than $1 million (USD),Mate Labs,Mate Labs Data Science Salaries,"₹ 1,90,804 - ₹ 2,63,644",NA,NA,"₹1,90,804-₹2,63,644","Data Science salaries at Mate Labs can range from ₹1,90,804-₹2,63,644",NA,NA,4.1,78%,11%,11%,78%,11%,11%,Banglore
"Bangalore, India",5001 to 10000 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,Ola,Ola Data Science Salaries,"₹ 6,15,650 - ₹ 7,76,358",NA,NA,"₹6,15,650-₹7,76,358","Data Science salaries at Ola can range from ₹6,15,650-₹7,76,358",NA,NA,3.1,47%,43%,11%,23%,23%,22%,Banglore
"San Francisco, CA",201 to 500 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Postman,Postman Data Science Salaries,"₹ 3,79,661 - ₹ 4,28,473",NA,NA,"₹3,79,661-₹4,28,473","Data Science salaries at Postman can range from ₹3,79,661-₹4,28,473",NA,NA,4.4,44%,39%,17%,64%,16%,8%,Banglore
"Bangalore, India",201 to 500 Employees,2011,Company - Private,Consulting,Unknown / Non-Applicable,Affine,Affine Data Science Salaries,"₹ 1,74,325 - ₹ 1,96,914",NA,NA,"₹1,74,325-₹1,96,914","Data Science salaries at Affine can range from ₹1,74,325-₹1,96,914",NA,NA,3.9,55%,31%,14%,42%,19%,15%,Banglore
"Palo Alto, CA",10000+ Employees,1939,Company - Public (HPQ),Computer Hardware & Software,Unknown / Non-Applicable,HP Inc.,HP Inc. Data Science Salaries,"₹ 3,16,823 - ₹ 4,98,908",NA,NA,,Data Science salaries at HP Inc,NA,NA,4.2,73%,13%,14%,45%,17%,15%,Banglore
"Bangalore, India",51 to 200 Employees,2017,Company - Private,Internet,Unknown / Non-Applicable,OkCredit,OkCredit Data Science Salaries,"₹ 3,51,626 - ₹ 3,86,052",NA,NA,"₹3,51,626-₹3,86,052","Data Science salaries at OkCredit can range from ₹3,51,626-₹3,86,052",NA,NA,4.7,41%,59%,41%,24%,18%,,Banglore
"Bangalore, India",10000+ Employees,1951,Company - Private,Industrial Manufacturing,$100 to $500 million (USD),Robert Bosch India,Robert Bosch India Data Science Salaries,"₹ 1,90,814 - ₹ 2,07,290",NA,NA,"₹1,90,814-₹2,07,290","Data Science salaries at Robert Bosch India can range from ₹1,90,814-₹2,07,290",NA,NA,4,74%,12%,14%,53%,13%,10%,Banglore
"Cincinnati, OH",10000+ Employees,1999,Subsidiary or Business Segment,Bus & Coach Services,$5 to $10 billion (USD),First Student,First Student Data Science Salaries in Bangalore Area,"₹ 1,15,334 - ₹ 4,99,786",NA,NA,"₹1,15,334-₹4,99,786","Data Science salaries at First Student can range from ₹1,15,334-₹4,99,786",NA,NA,4.1,62%,8%,30%,36%,36%,12%,Banglore
"Bangalore, India",10000+ Employees,1945,Company - Public (WIT),IT Services,$5 to $10 billion (USD),Wipro,Wipro Senior Data Scientist Salaries in Bangalore Area,"₹ 9,64,965 - ₹ 21,19,161",NA,NA,"₹9,64,965-₹21,19,161","Senior Data Scientist salaries at Wipro can range from ₹9,64,965-₹21,19,161",NA,NA,3.7,70%,13%,17%,44%,23%,11%,Banglore
"Brentford, United Kingdom",10000+ Employees,1830,Company - Public (GSK.L),Biotech & Pharmaceuticals,$10+ billion (USD),GlaxoSmithKline,GlaxoSmithKline Senior Data Scientist Salaries in Bangalore Area,"₹ 28,95,870 - ₹ 41,76,760","₹ 5,00,000",NA,"₹28,95,870-₹41,76,760","Senior Data Scientist salaries at GlaxoSmithKline can range from ₹28,95,870-₹41,76,760",NA,NA,3.8,68%,13%,19%,64%,10%,8%,Banglore
"San Jose, CA",10000+ Employees,1984,Company - Private,Computer Hardware & Software,$10+ billion (USD),Cisco Systems,Cisco Systems Senior Data Scientist Salaries in Bangalore Area,"₹ 22,44,973 - ₹ 29,65,584","₹ 4,11,827",NA,"₹28,00,000","The typical Cisco Systems Senior Data Scientist salary is ₹28,00,000",NA,NA,4.4,69%,11%,19%,32%,30%,18%,Banglore
"Chicago, IL",10000+ Employees,1916,Company - Public (BA),Aerospace & Defence,$10+ billion (USD),Boeing,Boeing Senior Data Scientist Salaries,"₹ 24,08,700 - ₹ 26,52,672","₹ 2,10,544",NA,"₹24,08,700-₹26,52,672","Senior Data Scientist salaries at Boeing can range from ₹24,08,700-₹26,52,672",NA,NA,3.8,67%,11%,22%,61%,18%,6%,Banglore
"Bangalore, India",501 to 1000 Employees,2013,Company - Private,Electrical & Electronic Manufacturing,Unknown / Non-Applicable,Ather Energy,Ather Energy Senior Data Scientist Salaries,"₹ 18,43,211 - ₹ 20,01,257",NA,NA,"₹18,43,211-₹20,01,257","Senior Data Scientist salaries at Ather Energy can range from ₹18,43,211-₹20,01,257",NA,NA,3.8,61%,39%,41%,22%,19%,,Banglore
"Paris, France",10000+ Employees,1864,Company - Public (GLE),Investment Banking & Asset Management,$10+ billion (USD),Société Générale,Société Générale Lead Data Scientist Salaries in Bangalore Area,"₹ 21,03,706 - ₹ 25,23,361","₹ 1,89,936",NA,"₹21,03,706-₹25,23,361","Lead Data Scientist salaries at Société Générale can range from ₹21,03,706-₹25,23,361",NA,NA,3.7,62%,17%,21%,42%,21%,11%,Banglore
"Mumbai, India",10000+ Employees,1997,Company - Public,IT Services,Unknown / Non-Applicable,LTI,LTI Associate Data Scientist Salaries in Bangalore Area,"₹ 5,99,937 - ₹ 9,10,603",NA,NA,"₹5,99,937-₹9,10,603","Associate Data Scientist salaries at LTI can range from ₹5,99,937-₹9,10,603",NA,NA,3.6,69%,16%,15%,60%,15%,9%,Banglore
"Princeton, NJ",201 to 500 Employees,2010,Company - Private,IT Services,$10 to $25 million (USD),Gramener,Gramener Associate Data Scientist Salaries in Bangalore Area,"₹ 6,28,666 - ₹ 7,36,152",NA,NA,"₹6,28,666-₹7,36,152","Associate Data Scientist salaries at Gramener can range from ₹6,28,666-₹7,36,152",NA,NA,4.5,62%,23%,15%,30%,26%,22%,Banglore
"San Francisco, CA",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),Noodle.ai,Noodle.ai Associate Data Scientist Salaries in Bangalore Area,"₹ 1,07,826 - ₹ 8,47,525","₹ 1,23,343",NA,,Associate Data Scientist salaries at Noodle,NA,NA,3.9,47%,40%,13%,64%,21%,7%,Banglore
"San Jose, CA",1001 to 5000 Employees,1956,Company - Public (FICO),Computer Hardware & Software,$500 million to $1 billion (USD),FICO,FICO Data Scientist II Salaries in Bangalore Area,"₹ 15,95,663 - ₹ 26,35,422","₹ 28,244",NA,"₹15,95,663-₹26,35,422","Data Scientist II salaries at FICO can range from ₹15,95,663-₹26,35,422",NA,NA,3.9,70%,13%,16%,34%,26%,19%,Banglore
"Santa Clara, CA",1001 to 5000 Employees,2014,Company - Private,IT Services,$100 to $500 million (USD),Brillio,Brillio Applied Data Scientist Salaries in Bangalore Area,"₹ 9,25,908 - ₹ 10,05,583",NA,NA,"₹9,25,908-₹10,05,583","Applied Data Scientist salaries at Brillio can range from ₹9,25,908-₹10,05,583",NA,NA,3.6,51%,35%,15%,27%,27%,20%,Banglore
"Greenwood Village, CO",1 to 50 Employees,2011,Company - Private,Transportation Management,Unknown / Non-Applicable,Direct Line Transportation,Direct Line Transportation Data Science Associate Salaries,"₹ 61,148 - ₹ 2,07,521",NA,NA,"₹61,148-₹2,07,521","Data Science Associate salaries at Direct Line Transportation can range from ₹61,148-₹2,07,521",NA,NA,4,NA,NA,NA,NA,NA,NA,Banglore
"Campbell, CA",10000+ Employees,2000,Company - Private,IT Services,$100 to $500 million (USD),[24]7.ai,[24]7.ai Data Scientist Salaries in Bangalore Area,"₹ 18,79,854","₹ 1,37,311","₹ 18,79,854",,The typical [24]7,"₹2,257K","₹1,097K",4.3,56%,24%,20%,23%,21%,16%,Banglore
"Lincolnshire, IL",5001 to 10000 Employees,1969,Company - Public (ZBRA),Computer Hardware & Software,$2 to $5 billion (USD),Zebra Technologies,Zebra Technologies Data Scientist Salaries in Bangalore Area,"₹ 11,61,598 - ₹ 12,50,695","₹ 60,560",NA,"₹11,61,598-₹12,50,695","Data Scientist salaries at Zebra Technologies can range from ₹11,61,598-₹12,50,695",NA,NA,3.9,54%,21%,25%,57%,16%,13%,Banglore
"Blue Bell, PA",10000+ Employees,1886,Company - Public (UIS),IT Services,$2 to $5 billion (USD),Unisys,Unisys Data Science Salaries in Bangalore Area,"₹ 2,52,310 - ₹ 2,71,009",NA,NA,"₹2,52,310-₹2,71,009","Data Science salaries at Unisys can range from ₹2,52,310-₹2,71,009",NA,NA,3.6,67%,16%,17%,27%,21%,18%,Banglore
"San Francisco, CA",10000+ Employees,1852,Company - Public (WFC),Banks & Building Societies,$10+ billion (USD),Wells Fargo,Wells Fargo Data Science Salaries in Bangalore Area,"₹ 9,63,230 - ₹ 10,34,620",NA,NA,"₹9,63,230-₹10,34,620","Data Science salaries at Wells Fargo can range from ₹9,63,230-₹10,34,620",NA,NA,3.7,64%,14%,22%,64%,9%,9%,Banglore
